Title,Date,Images,Paragraphs
Maximizing LLM performance,7 NOV 2023,"[https://blog.ankitsanghvi.in/content/images/2023/11/superai.png], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106123922.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106124118.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106124527.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106125311.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106125819.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106130150.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106131259.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106131403.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106131230.jpg], [https://blog.ankitsanghvi.in/content/images/2023/11/IMG20231106130354.jpg], ","[Short excerpt on how LLMs can be pushed from prototype to performance in a scalable way], [Read more posts by this author.], [In the realm of natural language processing, optimizing large language models (LLMs) is a formidable challenge. Striking the delicate balance between performance and efficiency is akin to finding a needle in a haystack of computational complexity. The performance of LLMs, often abstract and difficult to measure, requires a nuanced approach to optimization. In this blog, we’ll explore a mental model of options for LLM optimization and develop an appreciation for which option to use and when.], [You will leave with a foundational understanding of the two axes of optimization—context and LLM behavior—as well as a practical guide to the nuanced world of model refinement.], [At its core, context optimization is about fine-tuning what the model needs to know. Here’s how you can approach it:], [LLM behavior optimization delves into how the model should act. The two main strategies are:], [The key is to start somewhere, evaluate, and then iterate with another method.], [Starting with clear, concise instructions and breaking down complex tasks into simpler subtasks is paramount. Giving models ""time to think"" and testing changes systematically can yield surprising improvements. Extending this by providing reference text and using external tools can further enhance the results.], [When It Shines:], [Its Limitations:], [By giving LLMs access to domain-specific content, RAG helps update the model's knowledge and control the content it generates to reduce inaccuracies.], [When It Shines:], [Its Limitations:], [Enhancing RAG:], [Evaluating RAG:], [When prompt engineering doesn't cut it, fine-tuning may be the right path. Continuing the training process with domain-specific data can optimize model performance and efficiency. For example, Canva leveraged fine-tuned GPT-3.5 to produce structured output, showcasing the power of high-quality training data.], [When It Shines:], [Its Limitations:], [Steps to Fine-tune:], [Fine-tuning Best Practices:], [Sometimes, a blend of fine-tuning and RAG yields the best results. This method allows the model to understand complex instructions with minimal tokens, creating more space for retrieved context and leading to a more robust performance.], [The real-world application of these strategies can be as creative as generating hypothetical answers to enhance similarity searches. For example, initial baselines might yield a 69% performance rate, while a RAG with a well-crafted answer could increase that to 84%, comparable to fine-tuning. Collaborations, such as the one between Scale AI and OpenAI, demonstrate how a combined approach can optimize models to new heights of efficiency and effectiveness.], [In conclusion, maximizing LLM performance isn’t a one-size-fits-all endeavor. It requires a toolkit of strategies—from prompt engineering to fine-tuning and beyond—each with its own set of benefits and best-use scenarios.], [Get the latest posts delivered right to your inbox], [The current approach, tools and terminology, key insights, challenges and opportunities available in the sales domain], [How to inspire students to take a bet on themselves and build something 0 to 1], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Planning vs Execution,11 MAY 2024,,"[Stories of how I learnt how to execute fast but also step back to look at the big picture and set direction.], [Read more posts by this author.], [~ Written on a train ride back home], [i think the hardest part of starting up - juggling between ""are we doing enough?"" and ""everything we're doing, is it in the right direction?""], [what i've learnt the hard way, you've to intentionally take your mind out of the startup context to make better decisions. it's so weird that not- working on the thing, helps see the big picture better & open the mind to better ideas. i describe it as ""detoxing"" the mind.], [things that have helped me are - walks in gardens/shoreline, playing music, cooking, painting, even household chores for that matter. and 1st thing after coming back is writing a doc as plan of action], [and it seems boring. but truth is, that's probably the most imp thing you do as a founder. calm your nerves, rest your mind, look at everything from a fresh perspective and reinvent every week.], [Comparing 2 stories from my own journey about this:], [my 1st startup was Coursepanel (curriculum management software for universities/corporate training). I was a student back then and my mindset  was just DO as much work as your body can bear - 16+ hours per day for months. I burnt out not from tiredness, but being tired of not making progress. We felt we were always right, overengineered things in the wrong direction, but for the most part - didn't introspect.enough to keep realigning every week. the company barely made money and shutdown from lack of direction], [my 2nd startup is Recontact (video intelligence AI). now, every week, I actively take time out for daily strolls and half-a-day of hike/park time where I act extra-randomly and push whatever opinions/preferences I have. and then I come back and write just a 1 pager about where the company's at, good things, bad things, learnings and next experiments. the company is realigned every week. I have overcome the guilt of setting aside 8hrs every week in these breaks to ensure I perform well and think clearly in the rest 80. And that 80 can be pure execution where we're testing a well-planned hypothesis.], [this is a long term game. and i've realized that the best things i can bring to the table is not execution (that any hard worker brings to any company). it's the willingness to maturely balance my own stress and emotions amidst all this. and with that, condense my company's data and learnings stoically to make sane decisions. that's what makes us survive.], [Get the latest posts delivered right to your inbox], [Story of how my company almost died 6 times before things working out a little bit Oh! I actually redirected this entire blog to our Company's blog traffic to drive], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Back to 0,27 APR 2024,,"[Read more posts by this author.], [Story of how my company almost died 6 times before things working out a little bit], [Oh! I actually redirected this entire blog to our Company's blog traffic to drive more SEO traffic there 🧠], [Cuz, technicallyyyyyyy, I am the company and the company is me.], [Enjoy the full blog here 😁 - https://recontact.substack.com/p/back-to-0], [Get the latest posts delivered right to your inbox], [Stories of how I learnt how to execute fast but also step back to look at the big picture and set direction.], [Breaking some personal barriers to actually be good at telling the world about the problem we're solving and the product we're building], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
"How I learnt to do sales, starting out as a coder",3 MAR 2024,,"[Breaking some personal barriers to actually be good at telling the world about the problem we're solving and the product we're building], [Read more posts by this author.], [Checkout the blog on our company website - link], [Get the latest posts delivered right to your inbox], [Story of how my company almost died 6 times before things working out a little bit Oh! I actually redirected this entire blog to our Company's blog traffic to drive], [Simple ways you can turn your project into a customer-centric product.], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Baking customer obsession into everyday decisions,15 JAN 2024,,"[Simple ways you can turn your project into a customer-centric product.], [Read more posts by this author.], [I used to just get so confused for understanding how do I actually incorporate a culture of powerful customer obsession that big companies like Amazon, Airbnb, Stripe speak so strongly about.], [What does it mean? How does that change your workflow? What small optimizations can you do that can ensure you become such a company?], [Yeah, you don't need a dedicated team for that - I want to list simple things you can do as a solopreneur in a garage as well.], [Here's 4 learnings that I've had, from my current and previous startup, on how to build a reflex muscle for customer obsession, from 120+ overall interviews I've done.], [Customer-centricity means you just know so much about the customer, that when you take decisions about product, you can tell exactly how your customers will react to it.], [It's important because it builds very great relationship with them and they will stand by your team and product even when things don't work out that well.], [If you're having less than 5hrs of talktime with customers, that means you either know everything about them or you need to find a different set of people to talk to, who're willing to spend time to discuss the problem.], [Easy ways to get this:], [When you're a young company, you can provide near instanteneous customer support and that goes a long way in turning early adopters into evangelists. This is simple - just have them as priority notifications and swear you will reply something the moment you see a popup. Direct lines with founders who ping back quick feel very nice.], [This is the most important part. I'm sharing my company's template for this. It's just colorful stickies you can move around, but captures certain key snippets across multiple customers really well.], [Just pick key sentences they say, tag and color them well - really helps a lot. Here's an example], [At our company Recontact, we're helping people be amazing at building long-term relationships in professional and personal settings], [Using this strategy, we figured out (check video) that ""Maintenance"" (i.e. keeping in touch with people) - was the most talked about point in our problem statement - because it had more stickies. And that realization saved us from spending 2 weeks worth of time in making ""Search"" in our app more efficient - because that's not what our customers cared about.], [So yeah, that coloring and legend-making you did as a kid - well that's one of the key components in making a customer-centric business.], [Revise, revise, revise. This, I learned from Apple CEO Tim Cook - who starts his day with reading random customer emails. Well, you can always read these stickies. Look into a simple analytics dashboard you can create for your app. - template link], [You won't see it instantly, but, over time, a decision-making muscle gets built (very much like driving, music, fashion-sense) - that is very grounded in qualitative and quantitative analysis of customer feedback.], [Listen to even the smallest details - you might not remember instantly, but then you'll be surprised how often you'll randomly remember a customer fact, when making a decision related to it.], [You can be crazy passionate about this too - write customer snippets on your wall, listen to customer interviews at the gym, be thoughtful with delighting gifts, send personalized notes when their kids graduate etc. etc. etc.], [Bottom line - Be close to the customer, even though the product will not work out, your company will. Business runs on trust and mutual respect.], [Get the latest posts delivered right to your inbox], [31 Mar 2023 – 6 min read], [27 Feb 2023 – 6 min read], [15 Dec 2022 – 7 min read], [Breaking some personal barriers to actually be good at telling the world about the problem we're solving and the product we're building], [Superfast read on 6 ways to get more people to like you and make them strong connections.], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
BuildSchool - bet on student projects,3 NOV 2023,"[https://blog.ankitsanghvi.in/content/images/2023/11/Screenshot-2023-11-03-at-12.35.21-AM.png], [https://blog.ankitsanghvi.in/content/images/2023/11/Screenshot-2023-11-03-at-12.27.41-AM.png], [https://blog.ankitsanghvi.in/content/images/2023/11/pizza.png], [https://blog.ankitsanghvi.in/content/images/2023/11/Screenshot-2023-11-03-at-12.39.06-AM.png], ","[How to inspire students to take a bet on themselves and build something 0 to 1], [Read more posts by this author.], [there needs to be a part of education that allows students to dream and tinker and take risks. Something that makes them laugh and cry and hope and bond and stay up late in teams and chase self-assigned deadlines and ship something they would have never thought they could.], [that was the ideal of buildschool.], [we wanted to give students ""an ecosystem of believer-builders who built things to solve problems because they wanted to"". and having friends around always helps.], [but the issue was, we were targeting a student base who had just come back from remote learning, who was not entirely immersed into this tinkering culture and was more driven by definite career paths.], [in April 2022, Technical Society (TechSoc) started with minimal funding, full motivation and targeted growth hacks, to grow a strong community. I think the best takebacks from this journey are perseverence, dealing with ambiguity, and faith in the dreamers of tomorrow.], [and our approach at TechSoc has always been - invest in the team, invest in the participants and invest in the future. here's 3 stages of how we built a community from scratch and run it well, to this day.], [first, we had to make team buildschool believe that the mission they were solving was important because they would be enablers of a movement much bigger than themselves. so Anouksha and me used YCombinator's startup school curriculum and actually had each manager at buildschool study startup from a perspective of product strategy, history, revenue and future steps. this helped them understand how products are built, gain confidence in talking more about these ideas and also be better thinkers in general. over 2.5 months we did multiple startup teardowns, had these people practice cold emailing founders and speaking comfortably with them. here are some of their early day case studies.], [once our little army was ready, it was time to go to war. boy, was it going to be brutal.], [the early days were very random and we had barely any clue of processes and contacts and pretty much anything. we were just very clear on what we had to solve - get 10 student prototypes, not powerpoints, out by the next 13 weeks.], [to begin with, the issue was, how do you even get people to care to solve problems? it was always cooler to do fancy PoRs that add sure-shot resume points as opposed to taking a bet on whether you and your buddies could build something or not], [and even if people do care, how do you get them to actually learn this process of product building - right from design, to shipping to release to iteration and beyond? well, the answer actually lies in inspiring people.], [as Simon Sinek says, if you connect with the ""why"" of people, you can truly move them to do unbelievable things. and we did all sorts of crazy things to get the message across. here's a video from the early days. just a whiteboard, an ai generated thumbnail and some students talking about a crazy vision of 10 teams, 10 weeks, 10 prototypes.], [we did speak to people and touch upon a nerve.], [to further this, we revived the history of the ""fun in building"" through our alumnus Kedar Kulkarni - who started off with very realistic stories of moving up the quality ladder by building computer vision fun-tools with his friends and then moving up to govt partnerships and funded projects. looking back, i think that may have struck a really strong chord - even in me.], [10 teams selected. basic application on their plan for 10 weeks. we were just looking for grit.], [to refine our teams, buildschool organized really amazing talks right from product research and UI designing, all the way up to engineering and growth post launch. we got CXOs and industry veterans to give talks for free - how did we do that? well, we just connected with the ""why"" of these disruptors through a cold email as simple as:], [boom! 7 high quality lectures in various domains - all conducted at zero cost. well, except for the food. it does not have to be complex -  ], [growth hack - give people free food and they show up the 1st time, give them a memorable experience and they will keep showing up again and again.], [and it was hard. students want to do all sorts of things at all times. so we used accountability partners called ""build buds"" for each team to navigate through getting the right resources, connected to the right folks, and even actually finishing right before deadlines.], [guess what - at a mini demo day amongst the teams - 9 of them had a functioning product! here's a random picture from the mini demo day at the 8 week mark.], [by the time the 10th week ended, teams had transformed beyond what we had thought. people who didn't know coding had built apps, people who were shy on stage were presenting, people who were unsure about their passions had picked up something new and built something meaningful out of it. well, and the buildschool team - they had gone through the extreme rollercoaster of 0 attendee events (that really happened, it was really stressful) to having a great turnout of 9 products built in those 10 weeks and then we came for a repeat in the upcoming semesters with even more student interest. what makes me smile the most, is that people actually now think of this as a thing they can do full time.], [fun fact, one team even got incubated in the startup accelerator at IIT Madras. i look forward to more such stories.], [⭐️ here's my takeaway - atleast once in life, i feel, every person must go through the pain and the fulfilment of building something from 0 to 1. because once you're on the other side of the storm - you gain the self-confidence to do anything you want.], [that's what our vision at techsoc always has been. cheers and happy building!], [Get the latest posts delivered right to your inbox], [4 Oct 2023 – 10 min read], [27 Jul 2023 – 5 min read], [30 Oct 2022 – 8 min read], [Short excerpt on how LLMs can be pushed from prototype to performance in a scalable way], [Using Amazon Sagemaker to deploy whichever Hugging Face models you want, along with API inference], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Interactive VR app 101,18 DEC 2023,,"[Building a real-world interviewer who gives good feedback], [Read more posts by this author.], [This is going to be a super fast guide for developers to leverage platform development tools with VR and build cool apps. Starting with just a laptop and a Meta Quest in your hand.], [Here's what the final thing looks like:], [Here's the GitHub Repo containing all the code - https://github.com/CMU-SV-Ronith/sem_3pi], [Virtual Reality (VR) is transforming how we interact with digital environments, offering immersive experiences that blur the lines between the virtual and real world. One of the most exciting advancements in VR is the integration of Artificial Intelligence (AI), especially in creating Non-Player Characters (NPCs) that can interact with users in more human-like ways. This blog post delves into the creation of an interactive AI interviewer app in VR, highlighting the technological synergy of VR and AI.], [When embarking on VR app development, selecting the right engine is crucial. Two prominent engines are Unity and Unreal. After extensive research and testing, Unity emerged as the preferable choice for several reasons:], [We code in C# in Unity. Here's a simple video on integrating Unity App with C# code that you write - https://www.youtube.com/watch?v=lgUIx75fJ_E], [This was used for the Speech Analysis and Text Analysis functions.], [To integrate AI into our VR app, we need to make API calls. This is achieved through UnityEngine.Networking, setting up coroutines for HTTP(s) communications. The process involves getting and posting information, waiting for responses, and updating the UI to reflect changes. We utilize AWS for backend services and the Dolby Media Speech Analytics API for speech analysis.], [The AnalyzeText coroutine sends a user's transcript to our backend for processing, while GetAnalysisResults retrieves the analysis. The AnalyseSpeech coroutine sends audio files for speech analysis, and UploadFileToS3 handles the uploading of files to AWS S3.], [References of setting up AWS in app - link, video link], [NPCs are given life using tools like Inworld.ai, which allows for the creation of characters with specific goals and triggers. For instance, an NPC can be programmed to give a task when a user says a particular phrase. This adds an interactive layer to the VR experience, making it more engaging and realistic.], [The code snippet for NPC interaction demonstrates how to set up these interactions. It includes setting up goals, defining trigger phrases, and programming responses and actions based on user interaction.], [Reference video - https://www.youtube.com/watch?v=FVDoMnkw4rY], [The complete code combines all these elements into a cohesive VR app. It demonstrates the integration of various APIs, handling of voice and text inputs, and interaction with NPCs. The code is structured to ensure seamless interaction within the VR environment, enabling users to experience a realistic and interactive AI interview.], [This guide offers a window into the intricate process of developing an interactive AI interviewer app in VR. By combining Unity's versatile development environment with powerful APIs and AI-driven NPCs, developers can create engaging and immersive VR experiences. The future of VR and AI in app development is undoubtedly bright, offering endless possibilities for innovation and user engagement.], [Photo Credits: Dalle3, by OpenAI], [Get the latest posts delivered right to your inbox], [4 Oct 2023 – 10 min read], [Superfast read on 6 ways to get more people to like you and make them strong connections.], [The current approach, tools and terminology, key insights, challenges and opportunities available in the sales domain], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Social Capital,21 DEC 2023,,"[Superfast read on 6 ways to get more people to like you and make them strong connections.], [Read more posts by this author.], [""Social Capital"" is simply the ""network of relationships and acquantainces"" that a person has developed over life"".], [We all hear fancy ass quotes about ""making strong professional relations"", ""staying in touch with friends"" and ""your network is your net-worth"". Here's a quick rundown of the best-selling way to build such social capital, since the past 80 years and beyond! Basically, become more likeable.], [These are my key pointers from the book ""How to win friends and influence people"" by Dale Carnegie. Each topic is its own tweetstorm - so kick back and read these wisdom snippets to help you build a strong people network.], [With that let's dive in by understanding 6 ways to be a person who's good at making friends.], [A dog makes his living by giving you nothing but love], [You can make more friends in 2 months by becoming interested in other people than you can, in 2 years, by trying to get other people interested in you], [When you see a group photograph that you're in, whose picture do you look for first ?], [It is the individual who is not interested in his/her fellow men/women who has the greatest difficulties in life and provides the greatest injury to others. It is from such individuals that all human failures spring], [You have to be interested in people if you wanna be a successful writer of stories], [Can win the attention and time and cooperation of even the most sought-after people by becoming genuinely interested in them], [eg : To call someone for an interview, write a letter first enclosing a list of questions that you except them to answer about themselves and their method of work], [To find out someone's birthday ⇒ Begin by asking whether he/she believes the date of anyone's birth has anything to do with character or disposition], [A show of interest, like every other human emotion, must be sincere], [A smile says - ""I like you. You make me happy. I am glad to see you"". That is why dogs make such a hit], [A real smile, a heartwarming smile, a smile that comes from within, the kind of smile that will bring a good price in the marketplace], [People who smile, tend to manage, teach and sell more effectively], [Smile comes through in your voice], [Hard work alone is the magic  key that will unlock the door to our desires. People have succeeded because they had a rip-roaring good time conducting their business. As the fun becomes work, people change ⇒ lose joy in it, leading business to grow dull and fail], [Happiness doesn't depend on outward conditions. It depends on inner conditions], [It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it. Different mental attitude], [Action seems to follow feeling but really, action and feeling go together and by regulating the action, which is under the more direct control of the will, we can indirectly regulate the feeling which is not], [Thus, the sovereign voluntary path to cheerfulness is to sit up cheerfully and act and speak as if cheerfulness were already there], [Most folks are about as happy as they make up our minds to be], [Picture in your mind, the able, earnest, useful person you desire to be and the thought you hold is hourly transforming you into that particular individual], [A man/woman without a smiling face must not open a shop. It costs nothing but creates much], [Be interested, smile, remember their name, listen more, talk about their interests and make them feel important. You nail that and you find yourself as a likeable, good friend who is connected to a lot of different kinds of people very well.], [Get the latest posts delivered right to your inbox], [6 Jun 2022 – 5 min read], [Simple ways you can turn your project into a customer-centric product.], [Building a real-world interviewer who gives good feedback], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
The state of sales in 2023,17 NOV 2023,"[https://blog.ankitsanghvi.in/content/images/2023/11/image.png], [https://blog.ankitsanghvi.in/content/images/2023/11/sales-dark.png], ","[The current approach, tools and terminology, key insights, challenges and opportunities available in the sales domain], [Read more posts by this author.], [This article is a refresher to anyone looking to build in sales - the current approach, terminology, key insights, challenges and opportunities available in this domain.], [A sales funnel is the marketing term for the journey potential customers go through on the way to purchase. There are several steps to a sales funnel, usually known as the top, middle, and bottom of the funnel, although these steps may vary depending on a company's sales model.], [A basic sales funnel can be described as consisting of 4 levels. Marketers can take inspiration from this basic structure to design a sales funnel that suits the needs of their organisation.], [Extra - Renewal or repurchase: The sale stage is not the end of the sales funnel. Soon a time will come when the sales contract is up for renewal. The customer must now decide if they want to continue with the same seller. If so, there might be a fresh round of negotiations over price and purchase terms, followed by a renewal or repurchase.], [Here's an image of the currently most widely used Sales tools and the stage of the funnel they're utilized in:], [That’s the value of knowing a sales funnel: Successful sellers understand the journey a prospect is likely to take before they buy, and can make sure they’re ready to move on to each stage. They’re focused on the buyer, meeting their needs in the moment and building trust that helps move the deal forward.], [So what if you ditched the sales funnel? You’d run the risk of focusing too much on the close to hit quota, pushing products or services when prospects aren’t ready. Win rates would drop because prospects wouldn’t feel comfortable with the solutions they’re offered, and trust would be lost. No long-term relationships, no cross-sells, or upsells.], [2. Two thirds of salespeople also use discounts and promotions, and more than half report that they increase sales. The most popular promotion among sellers is bundling a suite of products, followed by free trials.], [Over the past 3 weeks, with conversations over 30 sales people, here are the key insights that stood out from my learnings in the current approach:], [In summary, the sales funnel remains a vital concept in the sales process, guiding potential customers from awareness to purchase.], [In 2023, sales teams face challenges like standing out from the competition, meeting quotas, and effectively engaging with decision-makers, particularly in remote and hybrid work environments.], [Utilizing digital tools like CRMs and LinkedIn, focusing on personalized customer engagement, and maintaining efficient data management are essential strategies. Building strong relationships and adapting to market dynamics are key to navigating these challenges.], [Sales teams must balance innovative selling techniques with the efficient use of time and resources to succeed in the evolving sales landscape.], [Get the latest posts delivered right to your inbox], [Building a real-world interviewer who gives good feedback], [Short excerpt on how LLMs can be pushed from prototype to performance in a scalable way], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Impact of Technology on Employability and Wealth,2 SEP 2023,,"[Understanding what the future of work and employment could be like, given advancements in tech], [Read more posts by this author.], [Checkout this comprehensive analysis of various stakeholders, factors and strategic outcomes - link], [And this time it is different. We talk about how technology shifts have been there, but this time its different. Today there are 78 million jobs that are vulnerable to be automated (IMF Report, 2021). And not enough non-routine, cognitive jobs being created (62mill) to fill this unemployment. gap(IMF Report, 2021). And lets take today’s discussion to talk about how this unfair wealth battlefield can be given its justice. It is currently important to study how this divide is “created strongly due to technology’s impact on employability”,at this point time - and prepare ourselves for an ambiguous future], [Automation has pierced through not just manufacturing sectors, but a vast array of industries, radically transforming the employment landscape. Far from being limited to routine and repetitive tasks, modern technological tools are expanding into spaces we once believed were uniquely human: content generation, graphic design, music composition, and even video editing.], [The velocity at which technology is advancing presents a conundrum. On one end, there's a surge in tech-centric roles, while on the other, there's a glaring skills deficit. This gap is even more pronounced among certain demographics: the elderly, individuals in rural settings, those encumbered by responsibilities, people with disabilities, immigrants, refugees, and professionals in non-tech domains.], [The technological boom has inadvertently created a rift between high-skilled tech aficionados and low-skilled workers. As the former group reaps the benefits of a tech-driven economy, the latter, especially those susceptible to automation, grapples with stagnating or diminishing wages.], [It's undeniable that the tech era has given birth to a new class of ultra-wealthy individuals. This isn't just about riches but also the power and influence that come with such immense wealth, from influencing political decisions to shaping economic policies.], [The gig economy, bolstered by technology, promises flexibility and autonomy. Yet, it's essential to ponder whether it's a genuine avenue for empowerment or merely a modern form of feudalism, where workers, despite being 'connected', remain isolated and vulnerable.], [In synthesizing these insights, the digital age emerges as a paradox. While it offers unparalleled opportunities for growth and innovation, it simultaneously casts shadows of inequality and uncertainty. As we navigate this era, it's paramount that stakeholders – from governments to corporations to educators – work in tandem to ensure that the digital future is inclusive, equitable, and just.], [Get the latest posts delivered right to your inbox], [Understanding basics of futurecasting and learning from examples of people who did it wrong.], [I did my undergraduate in Civil Engineering and pursued my career in software. This blog would be the story and the specifics of what a lot of people have asked], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
